id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,popularity,playlist
0uxSUdBrJy9Un0EYoBowng,0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,123.426,audio_features,220587,4,85,7p3Bd6ezuH2UaSEpqSJYs0
4aOOExMBUyxKnEYb39SrTg,0.509,0.542,3,-8.027,0,0.442,0.019,0.00639,0.23,0.151,97.767,audio_features,78681,4,80,7p3Bd6ezuH2UaSEpqSJYs0
3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,audio_features,166606,4,84,7p3Bd6ezuH2UaSEpqSJYs0
7JuHVG3qQKQKxC4doneXVW,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,audio_features,184490,4,71,7p3Bd6ezuH2UaSEpqSJYs0
7floNISpH8VF4z4459Qo18,0.763,0.726,1,-6.405,1,0.282,0.259,0.0,0.0976,0.349,139.059,audio_features,126346,4,84,7p3Bd6ezuH2UaSEpqSJYs0
7sO5G9EABYOXQKNPNiE9NR,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,audio_features,172800,4,87,7p3Bd6ezuH2UaSEpqSJYs0
6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,audio_features,189323,4,73,7p3Bd6ezuH2UaSEpqSJYs0
658I1uDnmLSiltFCf98AWE,0.727,0.62,8,-6.443,1,0.306,0.398,0.0,0.0926,0.555,105.003,audio_features,169979,4,76,7p3Bd6ezuH2UaSEpqSJYs0
2gQYziDV5cSTRSqr6akzi5,0.8,0.591,6,-8.808,1,0.271,0.111,0.0,0.429,0.747,117.003,audio_features,210387,4,74,7p3Bd6ezuH2UaSEpqSJYs0
7AQim7LbvFVZJE3O8TYgf2,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,audio_features,146520,4,87,7p3Bd6ezuH2UaSEpqSJYs0
3GVkPk8mqxz0itaAriG1L7,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,audio_features,95467,4,85,7p3Bd6ezuH2UaSEpqSJYs0
5eqK0tbzUPo2SoeZsov04s,0.884,0.347,8,-8.227,0,0.35,0.015,7e-06,0.0871,0.376,75.016,audio_features,220307,4,80,7p3Bd6ezuH2UaSEpqSJYs0
5WpR5mGVRi9NgnKAQsT4eE,0.795,0.823,2,-4.137,1,0.252,0.0824,0.0,0.13,0.912,132.92,audio_features,147680,4,44,7p3Bd6ezuH2UaSEpqSJYs0
4apiNNK0jp9uqn3JDG9My1,0.28,0.821,8,-2.864,0,0.111,0.167,0.0,0.139,0.254,181.444,audio_features,256163,3,41,7p3Bd6ezuH2UaSEpqSJYs0
1ITpqT1kDATCtMBwOK7sYn,0.896,0.377,9,-5.502,1,0.0935,0.0123,1.43e-06,0.115,0.255,113.886,audio_features,136573,4,71,7p3Bd6ezuH2UaSEpqSJYs0
5hbjWmsPxsoUf8xupri1g7,0.743,0.484,2,-12.917,1,0.468,0.335,0.0,0.109,0.301,77.449,audio_features,139677,4,55,7p3Bd6ezuH2UaSEpqSJYs0
38844QuZDlnt44uHPrSA3S,0.889,0.516,8,-8.852,1,0.327,0.372,0.0,0.0926,0.732,140.005,audio_features,199012,4,67,7p3Bd6ezuH2UaSEpqSJYs0
78QR3Wp35dqAhFEc2qAGjE,0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,112.511,audio_features,145543,4,86,7p3Bd6ezuH2UaSEpqSJYs0
7mEUjhl6aTztdHCrxoTgBG,0.67,0.847,10,-4.85,1,0.409,0.184,0.0,0.304,0.381,137.22,audio_features,189827,4,60,7p3Bd6ezuH2UaSEpqSJYs0
0WSEq9Ko4kFPt8yo3ICd6T,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,audio_features,226653,4,78,7p3Bd6ezuH2UaSEpqSJYs0
6GEz4RqQuNIOFXV2ghs1on,0.93,0.304,1,-11.328,1,0.478,0.00103,0.0,0.116,0.162,129.987,audio_features,145564,4,8,7p3Bd6ezuH2UaSEpqSJYs0
7h2yzh9vIBxSBN3885QyQt,0.706,0.638,11,-4.18,0,0.0916,0.312,0.0,0.103,0.47,130.066,audio_features,231231,4,43,7p3Bd6ezuH2UaSEpqSJYs0
3dqFdKbZacv3Z3XzFtIFjE,0.705,0.416,1,-9.767,1,0.293,0.0415,4.36e-06,0.196,0.0765,75.998,audio_features,177693,4,55,7p3Bd6ezuH2UaSEpqSJYs0
6ZthdsKjWtiCxnxbhs74vF,0.952,0.478,5,-8.52,0,0.361,0.774,0.0,0.112,0.568,118.008,audio_features,126168,4,79,7p3Bd6ezuH2UaSEpqSJYs0
0VOMBffX1llDu37yQUt3u3,0.474,0.576,1,-6.963,1,0.257,0.00248,0.000309,0.174,0.285,157.947,audio_features,195197,4,65,7p3Bd6ezuH2UaSEpqSJYs0
7asQMsxC6dNgY0inCzJC5O,0.808,0.644,1,-6.167,1,0.329,0.0716,0.0,0.085,0.512,151.098,audio_features,206968,4,56,7p3Bd6ezuH2UaSEpqSJYs0
6NOiMMjbfnLnruHaK54Rg1,0.941,0.479,8,-9.654,0,0.267,0.125,0.0,0.113,0.554,132.109,audio_features,110091,4,11,7p3Bd6ezuH2UaSEpqSJYs0
2TSfStvlAMLw89u3tali79,0.66,0.373,11,-10.234,1,0.595,0.149,0.0,0.106,0.35,167.912,audio_features,151776,4,73,7p3Bd6ezuH2UaSEpqSJYs0
2VqtX5xnWDVBv4BEvHW4cY,0.905,0.505,2,-9.084,1,0.231,0.854,0.0446,0.119,0.403,130.078,audio_features,265117,4,59,7p3Bd6ezuH2UaSEpqSJYs0
1QKDXegQxJBzSs8ZBNtGbT,0.817,0.697,1,-5.897,1,0.211,0.074,0.00716,0.101,0.334,147.965,audio_features,104960,4,63,7p3Bd6ezuH2UaSEpqSJYs0
2rqB2I2stqNPaVBaObZnDx,0.787,0.412,2,-11.016,1,0.391,0.233,0.0831,0.117,0.277,154.966,audio_features,104960,4,8,7p3Bd6ezuH2UaSEpqSJYs0
5TXDeTFVRVY7Cvt0Dw4vWW,0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,audio_features,120027,4,88,7p3Bd6ezuH2UaSEpqSJYs0
30QR0ndUdiiMQMA9g1PGCm,0.792,0.511,2,-6.876,1,0.0409,0.124,9.04e-05,0.14,0.111,113.983,audio_features,168490,4,82,7p3Bd6ezuH2UaSEpqSJYs0
4AuLkMqJdyQyGeShCU5ik3,0.608,0.461,11,-13.083,0,0.146,0.828,0.00104,0.107,0.512,114.886,audio_features,78215,4,65,7p3Bd6ezuH2UaSEpqSJYs0
4VXIryQMWpIdGgYR4TrjT1,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,audio_features,165820,4,87,7p3Bd6ezuH2UaSEpqSJYs0
55rn9bs7vZBsEK4Y4URraH,0.593,0.275,6,-15.25,0,0.0638,0.816,0.0115,0.108,0.363,114.82,audio_features,87411,4,68,7p3Bd6ezuH2UaSEpqSJYs0
0baNzeUcPQnQSagpe8T0mD,0.577,0.387,7,-8.607,1,0.274,0.964,0.705,0.208,0.459,146.565,audio_features,126312,1,79,7p3Bd6ezuH2UaSEpqSJYs0
6mhMFztI38c0CZr8CEnPrD,0.641,0.373,1,-14.13,1,0.44,0.761,0.0,0.0993,0.282,100.268,audio_features,120189,4,61,7p3Bd6ezuH2UaSEpqSJYs0
0yTGQpPOgcsS8Xqp5bQO58,0.748,0.297,1,-10.613,1,0.132,0.485,0.27,0.138,0.114,123.983,audio_features,131587,4,68,7p3Bd6ezuH2UaSEpqSJYs0
2ZRo7axmMPeSVUvDbGkJah,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,audio_features,110886,4,86,7p3Bd6ezuH2UaSEpqSJYs0
0kEZlJh4mK1QRfb3CT5LPk,0.753,0.68,5,-7.092,0,0.0349,0.326,4.15e-05,0.423,0.192,105.977,audio_features,145078,4,81,7p3Bd6ezuH2UaSEpqSJYs0
6iaSML1PIYq936g62BDtBq,0.623,0.692,2,-5.122,1,0.0504,0.328,0.0,0.153,0.566,79.899,audio_features,240051,4,83,7p3Bd6ezuH2UaSEpqSJYs0
4W8sUeokQKfHt1uTXp0Jq0,0.83,0.583,0,-2.052,1,0.0412,0.0563,0.0005,0.109,0.146,134.0,audio_features,200673,4,70,7p3Bd6ezuH2UaSEpqSJYs0
5e2l2ZAMwHmrkdM4Z6NhAR,0.603,0.204,7,-12.727,0,0.112,0.479,0.0714,0.642,0.71,74.688,audio_features,157206,5,72,7p3Bd6ezuH2UaSEpqSJYs0
2fSW54bA6x2iWePU7rpCiP,0.543,0.492,7,-7.432,1,0.156,0.0739,0.0,0.11,0.107,220.099,audio_features,231298,4,74,7p3Bd6ezuH2UaSEpqSJYs0
3M214U0mwSm041GsQR3nrO,0.609,0.619,11,-5.677,1,0.311,0.749,0.0,0.264,0.689,179.71,audio_features,168067,4,78,7p3Bd6ezuH2UaSEpqSJYs0
4yA3BQO97qscRTrJoK5AzO,0.589,0.357,7,-12.144,0,0.0995,0.333,0.0312,0.354,0.225,139.942,audio_features,166299,4,0,7p3Bd6ezuH2UaSEpqSJYs0
40KuvsFD0zpUFuCcmt5Xm0,0.835,0.462,7,-6.227,1,0.155,0.513,0.0,0.0875,0.702,78.99,audio_features,121672,4,72,7p3Bd6ezuH2UaSEpqSJYs0
5bttUhX2smfy7urwlidPfG,0.814,0.0987,7,-22.009,1,0.038,0.702,0.872,0.114,0.872,109.975,audio_features,104784,5,61,7p3Bd6ezuH2UaSEpqSJYs0
11iiMB7TmFTtaXT4YJAltw,0.546,0.179,1,-19.623,0,0.23,0.611,0.00211,0.107,0.272,95.037,audio_features,84177,4,64,7p3Bd6ezuH2UaSEpqSJYs0
1a7WZZZH7LzyvorhpOJFTe,0.742,0.579,0,-5.024,1,0.202,0.0381,0.0,0.0952,0.502,144.994,audio_features,258475,4,78,7p3Bd6ezuH2UaSEpqSJYs0
